Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,
CA-2014-AB10015140-41954,11/11/2014,13-11-2014,First Class,AB-100151402,Aaron Bergman,Consumer,Oklahoma City,Oklahoma,Central US,TEC-PH-5816,Technology,Phones,Samsung Convoy 3,221,2,0,62,
IN-2014-JR162107-41675,5/2/2014,7/2/2014,Second Class,JR-162107,Justin Ritter,Corporate,Wollongong,New South Wales,Oceania,FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",3709,9,0.1,-288,
IN-2014-CR127307-41929,17-10-2014,18-10-2014,First Class,CR-127307,Craig Reiter,Consumer,Brisbane,Queensland,Oceania,TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID",5175,9,0.1,919,
ES-2014-KM1637548-41667,28-01-2014,30-01-2014,First Class,KM-1637548,Katherine Murray,Home Office,Berlin,Berlin,Western Europe,TEC-PH-5267,Technology,Phones,"Motorola Smart Phone, Cordless",2892,5,0.1,-96,
SG-2014-RH9495111-41948,5/11/2014,6/11/2014,Same Day,RH-9495111,Rick Hansen,Consumer,Dakar,Dakar,Western Africa,TEC-CO-6011,Technology,Copiers,"Sharp Wireless Fax, High-Speed",2832,8,0,311,
IN-2014-JM156557-41818,28-06-2014,1/7/2014,Second Class,JM-156557,Jim Mitchum,Corporate,Sydney,New South Wales,Oceania,TEC-PH-5842,Technology,Phones,"Samsung Smart Phone, with Caller ID",2862,5,0.1,763,
IN-2012-TS2134092-41219,6/11/2012,8/11/2012,First Class,TS-2134092,Toby Swindell,Consumer,Porirua,Wellington,Oceania,FUR-CH-5378,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",1822,4,0,564,
IN-2013-MB1808592-41378,14-04-2013,18-04-2013,Standard Class,MB-1808592,Mick Brown,Consumer,Hamilton,Waikato,Oceania,FUR-TA-3764,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled",5244,6,0,996,
CA-2014-AB10015140-41954,11/11/2014,13-11-2014,First Class,AB-100151402,Aaron Bergman,Consumer,Oklahoma City,Oklahoma,Central US,FUR-BO-5957,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",341,2,0,54,
CA-2012-AB10015140-40974,6/3/2012,7/3/2012,First Class,AB-100151404,Aaron Bergman,Consumer,Seattle,Washington,Western US,FUR-CH-4421,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48,1,0.2,5,
CA-2012-AB10015140-40974,6/3/2012,7/3/2012,First Class,AB-100151404,Aaron Bergman,Consumer,Seattle,Washington,Western US,OFF-AR-5309,Office Supplies,Art,Newell 330,17,3,0,4,
ID-2013-AJ107801-41383,19-04-2013,22-04-2013,First Class,AJ-107801,Anthony Jacobs,Corporate,Kabul,Kabul,Southern Asia,FUR-TA-3420,Furniture,Tables,"Bevis Conference Table, Fully Assembled",4626,5,0,647,
SA-2012-MM7260110-41269,26-12-2012,28-12-2012,Second Class,MM-7260110,Magdelene Morse,Consumer,Jizan,Jizan,Western Asia,TEC-PH-3807,Technology,Phones,"Cisco Smart Phone, with Caller ID",2616,4,0,1151,
MX-2013-VF2171518-41591,13-11-2013,13-11-2013,Same Day,VF-2171518,Vicky Freymann,Home Office,Toledo,Parana,South America,FUR-CH-4530,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",2221,7,0,622,
IN-2014-PF1912027-41796,6/6/2014,8/6/2014,Second Class,PF-1912027,Peter Fuller,Consumer,Mudanjiang,Heilongjiang,Eastern Asia,OFF-AP-4959,Office Supplies,Appliances,"KitchenAid Microwave, White",3701,12,0,1036,
ES-2015-BP1118545-42216,31-07-2015,3/8/2015,Second Class,BP-1118545,Ben Peterman,Corporate,Paris,Ile-de-France,Western Europe,OFF-AP-3575,Office Supplies,Appliances,"Breville Refrigerator, Red",1869,4,0.1,186,
CA-2012-AB10015140-40958,19-02-2012,25-02-2012,Standard Class,AB-100151402,Aaron Bergman,Consumer,Arlington,Texas,Central US,OFF-ST-3078,Office Supplies,Storage,Akro Stacking Bins,12,2,0.2,-2,
